tc   x    zmpx    ubx   lbx   y    zmpy    uby   lby
2.55  0.074924  0.0992561  0.05  0.15  0.58573  0.606409  0.5  0.7
2.56  0.0753057  0.099026  0.05  0.15  0.587747  0.606578  0.5  0.7
2.57  0.0756294  0.0988235  0.05  0.15  0.589718  0.60668  0.5  0.7
2.58  0.0758966  0.0986498  0.05  0.15  0.591649  0.606719  0.5  0.7
2.59  0.0761081  0.0985055  0.05  0.15  0.593544  0.606701  0.5  0.7
2.6  0.0762649  0.0983908  0.05  0.15  0.595407  0.606628  0.5  0.7
2.61  0.0763676  0.0983054  0.05  0.15  0.597244  0.606505  0.5  0.7
2.62  0.0764165  0.0982486  0.05  0.15  0.59906  0.606337  0.5  0.7
2.63  0.076412  0.0982193  0.05  0.15  0.600858  0.606128  0.5  0.7
2.64  0.076354  0.0982163  0.05  0.15  0.602644  0.605882  0.5  0.7
2.65  0.0762423  0.0982377  0.05  0.15  0.604424  0.605604  0.5  0.7
2.66  0.0760767  0.0982817  0.05  0.15  0.606202  0.605297  0.5  0.7
2.67  0.0758565  0.0983461  0.05  0.15  0.607983  0.604967  0.5  0.7
2.68  0.075581  0.0984284  0.05  0.15  0.609772  0.604619  0.5  0.7
2.69  0.0752492  0.0985257  0.05  0.15  0.611575  0.604256  0.5  0.7
2.7  0.0748603  0.0986353  0.05  0.15  0.613397  0.603884  0.5  0.7
2.71  0.0744127  0.0987536  0.05  0.15  0.615244  0.603508  0.5  0.7
2.72  0.0739052  0.0988772  0.05  0.15  0.61712  0.603135  0.5  0.7
2.73  0.0733362  0.0990021  0.05  0.15  0.619032  0.602769  0.5  0.7
2.74  0.0727039  0.099124  0.05  0.15  0.620985  0.602418  0.5  0.7
2.75  0.0720065  0.0992383  0.05  0.15  0.622984  0.602089  0.5  0.7
2.76  0.0712419  0.0993397  0.05  0.15  0.625036  0.601788  0.5  0.7
2.77  0.070408  0.0994225  0.05  0.15  0.627146  0.601525  0.5  0.7
2.78  0.0695026  0.0994806  0.05  0.15  0.629319  0.601308  0.5  0.7
2.79  0.0685232  0.099507  0.05  0.15  0.631563  0.601148  0.5  0.7
2.8  0.0674674  0.0994941  0.05  0.15  0.633882  0.601055  0.5  0.7
2.81  0.0663326  0.0994334  0.05  0.15  0.636283  0.601042  0.5  0.7
2.82  0.0651161  0.0993154  0.05  0.15  0.638772  0.601124  0.5  0.7
2.83  0.0638153  0.0991296  0.05  0.15  0.641354  0.601314  0.5  0.7
2.84  0.0624275  0.0988644  0.05  0.15  0.644035  0.601632  0.5  0.7
2.85  0.0609498  0.0985068  0.05  0.15  0.646821  0.602094  0.5  0.7
2.86  0.0593796  0.098042  0.05  0.15  0.649718  0.602724  0.5  0.7
2.87  0.0577141  0.0974539  0.05  0.15  0.652731  0.603546  0.5  0.7
2.88  0.0559507  0.0967243  0.05  0.15  0.655865  0.604585  0.5  0.7
2.89  0.054087  0.0958328  0.05  0.15  0.659126  0.605873  0.5  0.7
2.9  0.0521206  0.0947566  0.05  0.15  0.662519  0.607443  0.5  0.7
2.91  0.0500494  0.0934704  0.05  0.15  0.666047  0.609333  0.5  0.7
2.92  0.0478715  0.0919457  0.05  0.15  0.669714  0.611585  0.5  0.7
2.93  0.0455854  0.0901508  0.05  0.15  0.673525  0.614247  0.5  0.7
2.94  0.04319  0.0880501  0.05  0.15  0.677481  0.617371  0.5  0.7
2.95  0.0406848  0.0856039  0.05  0.15  0.681585  0.621017  0.5  0.7
2.96  0.0380696  0.082768  0.05  0.15  0.685837  0.625252  0.5  0.7
2.97  0.0353453  0.0794929  0.05  0.15  0.690237  0.630148  0.5  0.7
2.98  0.0325133  0.0757233  0.05  0.15  0.694783  0.635789  0.5  0.7
2.99  0.0295763  0.0713976  -0.15  0.15  0.699474  0.642267  0.5  1
3  0.0265378  0.0664471  -0.15  0.15  0.704302  0.649684  0.5  1
3.01  0.0234029  0.0608007  -0.15  0.15  0.709263  0.658145  0.5  1
