tc   x    zmpx    ubx   lbx   y    zmpy    uby   lby
1.9  0.354526  0.409337  0.3  0.5  -0.0626531  -0.0987403  -0.15  -0.05
1.91  0.357055  0.40963  0.3  0.5  -0.0633243  -0.0989013  -0.15  -0.05
1.92  0.359532  0.409872  0.3  0.5  -0.0639606  -0.0990273  -0.15  -0.05
1.93  0.36196  0.410004  0.3  0.5  -0.0645626  -0.0991665  -0.15  -0.05
1.94  0.364341  0.410089  0.3  0.5  -0.0651306  -0.0992718  -0.15  -0.05
1.95  0.366678  0.410167  0.3  0.5  -0.0656652  -0.0993572  -0.15  -0.05
1.96  0.368971  0.410201  0.3  0.5  -0.0661668  -0.0994095  -0.15  -0.05
1.97  0.371224  0.410134  0.3  0.5  -0.0666357  -0.0995039  -0.15  -0.05
1.98  0.373439  0.410028  0.3  0.5  -0.0670725  -0.0995662  -0.15  -0.05
1.99  0.375619  0.409982  0.3  0.5  -0.0674774  -0.0996004  -0.15  -0.05
2  0.377764  0.409903  0.3  0.5  -0.0678509  -0.0996032  -0.15  -0.05
2.01  0.379878  0.409705  0.3  0.5  -0.0681932  -0.0996758  -0.15  -0.05
2.02  0.381963  0.409479  0.3  0.5  -0.0685047  -0.0997175  -0.15  -0.05
2.03  0.384021  0.409207  0.3  0.5  -0.0687855  -0.0997993  -0.15  -0.05
2.04  0.386054  0.40891  0.3  0.5  -0.069036  -0.0998507  -0.15  -0.05
2.05  0.388065  0.408682  0.3  0.5  -0.0692562  -0.0998904  -0.15  -0.05
2.06  0.390055  0.408433  0.3  0.5  -0.0694465  -0.0999  -0.15  -0.05
2.07  0.392028  0.408107  0.3  0.5  -0.0696069  -0.0999739  -0.15  -0.05
2.08  0.393984  0.407761  0.3  0.5  -0.0697375  -0.10005  -0.15  -0.05
2.09  0.395928  0.407403  0.3  0.5  -0.0698384  -0.100096  -0.15  -0.05
2.1  0.39786  0.40713  0.3  0.5  -0.0699096  -0.100129  -0.15  -0.05
2.11  0.399783  0.406848  0.3  0.5  -0.0699513  -0.100132  -0.15  -0.05
2.12  0.401699  0.406482  0.3  0.5  -0.0699633  -0.100208  -0.15  -0.05
2.13  0.40361  0.406111  0.3  0.5  -0.0699457  -0.100254  -0.15  -0.05
2.14  0.405519  0.405882  0.3  0.5  -0.0698984  -0.10026  -0.15  -0.05
2.15  0.407427  0.405653  0.3  0.5  -0.0698214  -0.100236  -0.15  -0.05
2.16  0.409338  0.405283  0.3  0.5  -0.0697145  -0.100313  -0.15  -0.05
2.17  0.411252  0.404918  0.3  0.5  -0.0695777  -0.10036  -0.15  -0.05
2.18  0.413172  0.404508  0.3  0.5  -0.0694106  -0.10046  -0.15  -0.05
2.19  0.415101  0.404107  0.3  0.5  -0.0692131  -0.100529  -0.15  -0.05
2.2  0.417041  0.403821  0.3  0.5  -0.068985  -0.10057  -0.15  -0.05
2.21  0.418994  0.403547  0.3  0.5  -0.0687259  -0.100581  -0.15  -0.05
2.22  0.420962  0.403172  0.3  0.5  -0.0684355  -0.100671  -0.15  -0.05
2.23  0.422947  0.402815  0.3  0.5  -0.0681136  -0.100729  -0.15  -0.05
